Initial weight matrices:
W1: [[ 0.41294439  0.78052472  0.40409879]
    [ 0.42313629  0.6071947   0.83028291]]

W2: [[ 0.09938315  0.19247827  0.8261792 ]]

Niter eta Training_MCR_C1 Training_MCR_C2 Test_MCR_C1 Test_MCR_2
5 0.0001 0 100 0 1000
5 0.0005 0 100 0 1000
5 0.001 0 99 0 996
5 0.0015 0 86 0 875
5 0.002 0 66 0 669
5 0.0025 0 45 2 485
5 0.003 0 36 11 361
10 0.0001 0 100 0 1000
10 0.0005 0 99 0 997
10 0.001 0 68 0 709
10 0.0015 0 41 6 407
10 0.002 0 28 20 251
10 0.0025 2 19 37 164
10 0.003 3 13 51 111
15 0.0001 0 100 0 1000
15 0.0005 0 88 0 905
15 0.001 0 42 6 422
15 0.0015 0 24 23 214
15 0.002 3 16 48 124
15 0.0025 6 11 68 94
15 0.003 9 11 78 74
20 0.0001 0 100 0 1000
20 0.0005 0 70 0 727
20 0.001 0 31 18 279
20 0.0015 3 16 47 128
20 0.002 7 11 68 90
20 0.0025 10 10 81 67
20 0.003 10 8 96 56
25 0.0001 0 100 0 1000
25 0.0005 0 50 1 561
25 0.001 0 22 33 190
25 0.0015 3 12 60 97
25 0.002 10 10 81 71
25 0.0025 10 8 96 56
25 0.003 10 6 107 38
30 0.0001 0 100 0 1000
30 0.0005 0 44 6 438
30 0.001 3 17 43 136
30 0.0015 7 11 72 81
30 0.002 10 8 90 57
30 0.0025 10 6 107 39
30 0.003 12 4 117 34
35 0.0001 0 100 0 1000
35 0.0005 0 36 11 354
35 0.001 3 13 51 109
35 0.0015 10 10 81 67
35 0.002 10 8 102 50
35 0.0025 11 4 116 34
35 0.003 13 3 126 33
